\P\	employee_id	territory_id\
T	5	5
N	0	0
K	1	0
t	employees	territories
c	employee_id	territory_id
#
V	1	06897
V	1	19713
V	2	01581
V	2	01730
V	2	01833
V	2	02116
V	2	02139
V	2	02184
V	2	40222
V	3	30346
V	3	31406
V	3	32859
V	3	33607
V	4	20852
V	4	27403
V	4	27511
V	5	02903
V	5	07960
V	5	08837
V	5	10019
V	5	10038
V	5	11747
V	5	14450
V	6	85014
V	6	85251
V	6	98004
V	6	98052
V	6	98104
V	7	60179
V	7	60601
V	7	80202
V	7	80909
V	7	90405
V	7	94025
V	7	94105
V	7	95008
V	7	95054
V	7	95060
V	8	19428
V	8	44122
V	8	45839
V	8	53404
V	9	03049
V	9	03801
V	9	48075
V	9	48084
V	9	48304
V	9	55113
V	9	55439
