\P\	Pos	product_id\
T	5	5
N	0	0
#
V	49	11
V	66	42
V	84	72
V	102	14
V	120	51
V	139	41
V	157	51
V	179	65
V	201	22
V	222	57
V	244	65
V	263	20
V	285	33
V	304	60
V	323	31
V	340	39
V	359	49
V	376	24
V	397	55
V	419	74
V	435	2
V	453	16
V	472	36
V	491	59
V	508	53
V	527	77
V	546	27
V	565	39
V	583	77
V	602	2
V	622	5
V	640	32
V	660	21
V	676	37
V	694	41
V	715	57
V	734	62
V	756	70
V	776	21
V	792	35
V	811	5
V	829	7
V	845	56
V	863	16
V	885	24
V	903	30
V	925	74
V	944	2
V	962	41
V	983	17
V	1002	70
V	1019	12
V	1041	40
V	1060	59
V	1080	76
V	1102	29
V	1119	72
V	1137	33
V	1156	72
V	1178	36
V	1197	43
V	1216	33
V	1232	20
V	1250	31
V	1267	72
V	1286	10
V	1308	31
V	1328	33
V	1344	40
V	1366	76
V	1388	71
V	1407	72
V	1425	24
V	1446	59
V	1465	10
V	1484	13
V	1502	28
V	1521	62
V	1540	44
V	1559	59
V	1576	63
V	1594	73
V	1611	17
V	1633	24
V	1651	55
V	1670	75
V	1688	19
V	1705	24
V	1722	35
V	1740	30
V	1758	57
V	1776	15
V	1795	19
V	1813	60
V	1832	72
V	1850	27
V	1872	44
V	1891	60
V	1913	67
V	1934	1
V	1954	40
V	1975	53
V	1996	35
V	2016	62
V	2035	16
V	2057	34
V	2076	46
V	2097	54
V	2117	68
V	2135	3
V	2150	64
V	2168	5
V	2184	29
V	2201	49
V	2218	77
V	2237	13
V	2257	44
V	2278	51
V	2298	20
V	2317	18
V	2334	24
V	2352	63
V	2370	75
V	2387	1
V	2405	17
V	2424	43
V	2443	60
V	2462	75
V	2479	56
V	2497	11
V	2516	16
V	2535	69
V	2554	39
V	2573	72
V	2592	2
V	2610	36
V	2632	59
V	2652	62
V	2671	19
V	2689	70
V	2706	66
V	2725	68
V	2742	40
V	2761	56
V	2780	17
V	2799	28
V	2818	43
V	2837	40
V	2858	65
V	2879	68
V	2898	49
V	2915	59
V	2932	71
V	2950	18
V	2969	29
V	2988	39
V	3009	30
V	3028	53
V	3047	54
V	3064	62
V	3083	68
V	3099	69
V	3117	70
V	3133	4
V	3151	6
V	3167	42
V	3185	43
V	3204	71
V	3222	16
V	3241	62
V	3259	42
V	3277	69
V	3295	28
V	3313	43
V	3332	53
V	3351	75
V	3369	36
V	3388	32
V	3409	58
V	3430	62
V	3451	34
V	3470	70
V	3487	41
V	3505	62
V	3524	1
V	3542	41
V	3560	76
V	3578	17
V	3596	28
V	3615	76
V	3634	71
V	3653	35
V	3672	52
V	3690	15
V	3708	25
V	3726	39
V	3744	16
