\P\	Pos	customer_id\
T	5	$
N	0	0
#
V	163	VINET
V	283	TOMSP
V	396	HANAR
V	519	VICTE
V	635	SUPRD
V	757	HANAR
V	880	CHOPS
V	989	RICSU
V	1102	WELLI
V	1229	HILAA
V	1383	ERNSH
V	1484	CENTC
V	1616	OTTIK
V	1731	QUEDE
V	1859	RATTC
V	1982	ERNSH
V	2083	FOLKO
V	2192	BLONP
V	2314	WARTH
V	2416	FRANK
V	2529	GROSR
V	2658	WHITC
V	2774	WARTH
V	2877	SPLIR
V	2986	RATTC
V	3109	QUICK
V	3218	VINET
V	3337	MAGAA
V	3466	TORTU
V	3585	MORGK
V	3699	BERGS
V	3815	LEHMS
V	3933	BERGS
V	4048	ROMEY
V	4154	ROMEY
V	4261	LILAS
V	4415	LEHMS
V	4533	QUICK
V	4642	QUICK
V	4752	RICAR
V	4883	REGGC
V	5006	BSBEV
V	5112	COMMI
V	5238	QUEDE
V	5365	TRADH
V	5500	TORTU
V	5619	RATTC
V	5743	VINET
V	5862	LILAS
V	6015	BLONP
V	6136	HUNGO
V	6261	RICAR
V	6392	MAGAA
V	6521	WANDK
V	6637	SUPRD
V	6759	GODOS
V	6873	TORTU
V	6992	OLDWO
V	7110	ROMEY
V	7216	LONEP
V	7336	ANATR
V	7483	HUNGO
V	7606	THEBI
V	7723	DUMON
V	7846	WANDK
V	7962	QUICK
V	8070	RATTC
V	8193	ISLAT
V	8321	RATTC
V	8445	LONEP
V	8566	ISLAT
V	8693	TORTU
V	8811	WARTH
V	8913	ISLAT
V	9040	PERIC
V	9172	KOENE
V	9284	SAVEA
V	9394	KOENE
V	9507	BOLID
V	9626	FOLKO
V	9736	FURIB
V	9867	SPLIR
V	9978	LILAS
V	10132	BONAP
V	10243	MEREP
V	10366	WARTH
V	10467	VICTE
V	10582	HUNGO
V	10706	PRINI
V	10830	FRANK
V	10943	OLDWO
V	11060	MEREP
V	11183	BONAP
V	11295	SIMOB
V	11402	FRANK
V	11514	LEHMS
V	11633	WHITC
V	11750	QUICK
V	11860	RATTC
V	11984	FAMIA
V	12102	WANDK
V	12217	SPLIR
V	12326	LAMAI
V	12443	ERNSH
V	12544	FURIB
V	12673	PICCO
V	12781	PERIC
V	12914	AROUT
V	13043	WANDK
V	13159	LILAS
V	13313	LAMAI
V	13430	SEVES
V	13541	BLONP
V	13663	QUICK
V	13773	BONAP
V	13884	DRACD
V	13999	EASTC
V	14107	ANTON
V	14227	GALED
V	14355	VAFFE
V	14458	ERNSH
V	14559	SPLIR
V	14670	CHOPS
V	14778	LAMAI
V	14894	QUEEN
V	15023	HUNGO
V	15148	WOLZA
V	15256	HUNGC
V	15388	MEREP
V	15511	SEVES
V	15621	FOLKO
V	15730	QUEDE
V	15859	HUNGO
V	15983	LILAS
V	16136	ERNSH
V	16236	AROUT
V	16365	BERGS
V	16482	SPLIR
V	16592	FAMIA
V	16712	SANTG
V	16826	SEVES
V	16936	BOTTM
V	17060	ERNSH
V	17161	DRACD
V	17275	PICCO
V	17383	SAVEA
V	17493	HUNGC
V	17625	HILAA
V	17780	FRANK
V	17893	PRINI
V	18017	SAVEA
V	18126	VAFFE
V	18229	EASTC
V	18337	RATTC
V	18460	ERNSH
V	18560	ERNSH
V	18660	MAGAA
V	18790	LINOD
V	18931	QUEEN
V	19060	OTTIK
V	19175	FOLIG
V	19296	OCEAN
V	19441	BOTTM
V	19563	BOTTM
V	19687	WARTH
V	19788	LAMAI
V	19905	FAMIA
V	20025	HUNGC
V	20155	WARTH
V	20257	SIMOB
V	20364	QUICK
V	20473	RICSU
V	20586	WELLI
V	20713	QUEDE
V	20842	FRANS
V	20951	GOURL
V	21072	MEREP
V	21196	LAMAI
V	21312	GALED
V	21440	PICCO
V	21547	REGGC
V	21671	HUNGO
V	21795	ERNSH
V	21896	BOTTM
V	22020	SPLIR
V	22129	PRINI
V	22253	FOLKO
V	22363	CONSH
V	22487	BLONP
V	22610	WARTH
V	22712	TOMSP
V	22824	MEREP
V	22946	SAVEA
V	23055	OLDWO
V	23172	ERNSH
V	23272	REGGC
V	23396	BERGS
V	23510	BERGS
V	23624	TOMSP
V	23737	RICAR
V	23868	RANCH
V	23989	BLONP
V	24110	VICTE
V	24225	QUICK
V	24335	SAVEA
V	24445	AROUT
V	24574	LAMAI
V	24690	WARTH
V	24793	KOENE
V	24905	KOENE
V	25018	SUPRD
V	25142	VICTE
V	25258	FOLKO
V	25368	LILAS
V	25523	CONSH
V	25647	SUPRD
V	25770	FURIB
V	25898	VAFFE
V	26002	COMMI
V	26129	MAGAA
V	26257	KOENE
V	26370	WHITC
V	26487	BONAP
V	26598	BSBEV
V	26704	SEVES
V	26812	ISLAT
V	26940	PERIC
V	27074	SUPRD
V	27197	HILAA
V	27350	PRINI
V	27474	VICTE
V	27589	RATTC
V	27713	FOLIG
V	27833	RICAR
V	27964	LAZYK
V	28085	WHITC
V	28202	BSBEV
V	28307	LINOD
V	28448	HILAA
V	28602	QUEEN
V	28730	FRANK
V	28841	PICCO
V	28947	HILAA
V	29102	FURIB
V	29233	BOTTM
V	29357	LAMAI
V	29474	COMMI
V	29601	LAUGB
V	29726	TRADH
V	29862	LEHMS
V	29980	HILAA
V	30134	LILAS
V	30289	LAMAI
V	30406	BLAUS
V	30523	PERIC
V	30657	HUNGO
V	30781	WHITC
V	30898	MEREP
V	31020	KOENE
V	31133	ANTON
V	31256	OTTIK
V	31370	BLAUS
V	31487	SAVEA
V	31597	BONAP
V	31709	FAMIA
V	31828	WANDK
V	31945	ERNSH
V	32046	QUICK
V	32156	HUNGO
V	32280	NORTS
V	32395	TORTU
V	32515	CHOPS
V	32624	SANTG
V	32738	CACTU
V	32861	LEHMS
V	32979	SEVES
V	33089	BERGS
V	33206	BONAP
V	33317	WARTH
V	33419	QUICK
V	33527	GREAL
V	33642	MAISD
V	33756	PICCO
V	33864	OCEAN
V	34008	EASTC
V	34116	FOLKO
V	34227	LEHMS
V	34345	ANTON
V	34468	LEHMS
V	34586	RICSU
V	34698	BSBEV
V	34803	BSBEV
V	34909	QUICK
V	35020	HANAR
V	35143	KOENE
V	35256	LILAS
V	35410	LONEP
V	35531	LAZYK
V	35653	VICTE
V	35770	SEVES
V	35881	TOMSP
V	35993	QUICK
V	36103	GODOS
V	36215	FURIB
V	36346	HILAA
V	36500	WARTH
V	36603	OTTIK
V	36719	SAVEA
V	36829	SIMOB
V	36934	LEHMS
V	37052	AROUT
V	37181	BLONP
V	37302	FRANK
V	37414	FOLKO
V	37525	REGGC
V	37649	RICAR
V	37780	RATTC
V	37903	MEREP
V	38025	BLONP
V	38146	HUNGO
V	38270	GALED
V	38397	RATTC
V	38520	MEREP
V	38644	ERNSH
V	38744	BERGS
V	38861	ANTON
V	38984	TRAIH
V	39112	MORGK
V	39226	TORTU
V	39345	TRAIH
V	39474	BSBEV
V	39579	LETSS
V	39699	OTTIK
V	39814	FAMIA
V	39933	BLAUS
V	40051	WARTH
V	40152	BLONP
V	40274	WELLI
V	40401	REGGC
V	40524	QUEDE
V	40653	QUICK
V	40763	GREAL
V	40878	MEREP
V	41001	VAFFE
V	41104	LEHMS
V	41221	LEHMS
V	41339	OLDWO
V	41455	ERNSH
V	41555	WHITC
V	41672	PICCO
V	41779	RATTC
V	41902	BSBEV
V	42008	HUNGC
V	42140	HILAA
V	42293	VAFFE
V	42395	SAVEA
V	42504	FURIB
V	42634	MEREP
V	42758	TRADH
V	42893	SAVEA
V	43003	TOMSP
V	43116	DUMON
V	43238	LAMAI
V	43355	WOLZA
V	43464	SAVEA
V	43574	HILAA
V	43727	BLAUS
V	43844	WILMK
V	43948	GREAL
V	44065	GREAL
V	44181	MEREP
V	44305	MEREP
V	44428	LAUGB
V	44553	ISLAT
V	44681	RICAR
V	44812	FRANK
V	44924	THECR
V	45033	ANATR
V	45180	BERGS
V	45297	SAVEA
V	45407	BLONP
V	45529	GODOS
V	45642	KOENE
V	45755	LAMAI
V	45871	WANDK
V	45987	ERNSH
V	46087	FOLIG
V	46209	MAGAA
V	46338	WARTH
V	46439	QUEEN
V	46568	LINOD
V	46710	SANTG
V	46824	WANDK
V	46940	HILAA
V	47095	SIMOB
V	47202	ALFKI
V	47313	WELLI
V	47439	HANAR
V	47562	HUNGO
V	47687	QUEDE
V	47816	RICAR
V	47947	MAISD
V	48059	FAMIA
V	48180	WANDK
V	48295	GOURL
V	48416	FRANK
V	48528	BERGS
V	48644	REGGC
V	48767	GREAL
V	48883	SAVEA
V	48993	QUICK
V	49103	QUEEN
V	49232	HUNGC
V	49365	HUNGO
V	49489	LONEP
V	49609	BONAP
